"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.37560574","86.06919176","84.527591","78.97008684","76.82497587","78.16998663","75.40338818","72.77924343","78.99665105","73.25516892","74.48620936","72.04786271","73.0559213","78.38229648","77.40100618","","",
"Angola","AGO","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.30468809","45.09108641","49.66205143","48.51068844","46.89109956","42.33265502","30.66570071","28.38397138","21.65323747","15.50890528","19.34375655","17.99380955","17.61917737","21.34927836","26.87616706","33.52316573","35.20893022","","",
"Albania","ALB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.61812282","63.30567259","64.11598815","60.04996228","54.37229865","52.46653579","52.01092696","54.3782797","50.45878485","42.59494274","48.01337665","48.59376329","52.98372431","55.15620186","55.68634529","56.68625032","57.98090142","","",
"Andorra","AND","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.89478832","47.42711324","48.11569293","51.06642737","52.92778496","50.49583325","50.92135285","50.70324598","48.41379506","46.61136296","45.43219276","44.39961291","43.88948878","43.27658906","42.80395952","42.38849053","41.69688586","","",
"Arab World","ARB","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6351679556105","35.7310045677945","36.2772556423585","35.541650231479","35.3479372691781","34.9392986940257","34.0798339889543","34.62290131588","34.5982352407433","31.3552860499509","33.0512097062039","30.8845109524647","31.4840397259417","30.7418710484407","28.8884807971799","31.0896274297721","31.3138635156071","","",
"United Arab Emirates","ARE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.08343466","15.08593253","28.04150794","27.45692938","30.40837998","30.13919123","29.70960616","28.87625155","25.13651827","16.10036892","17.94574429","16.88403734","16.73880396","17.15579433","17.80782661","17.78964985","18.56537376","","",
"Argentina","ARG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.10433138","29.47439927","29.89215405","28.17214337","28.5621081","32.98903572","31.52988736","29.24281384","25.65208076","22.54165454","19.71319924","18.00152708","14.19771236","14.496148","14.61466747","13.54572906","15.79818747","","",
"Armenia","ARM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.35529395","63.41492344","65.24244068","68.55632432","77.92576479","72.41735996","63.00452452","61.73206674","59.17398927","54.70512027","62.1307487","46.27378405","71.29481324","78.21917099","82.48119934","81.62987756","80.6469544","","",
"American Samoa","ASM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.98522502","28.21486592","27.71988083","29.17268832","30.31367141","29.87396958","30.48390362","31.10169446","27.41381365","23.35936687","24.27884769","24.51529477","28.3557164","27.14568289","25.09286581","25.79987354","32.18838038","","",
"Australia","AUS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.99717685","20.43904871","19.91993963","19.1476338","19.21872515","19.64306381","19.74943273","19.00256784","19.04160957","19.05282986","19.7492765","19.17248508","19.93432788","19.71550207","19.55829502","18.9466257","18.9437128","","",
"Austria","AUT","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.82221922","18.46295775","18.61328643","18.88836898","19.30190439","19.18326003","18.80627758","18.8061386","18.24393303","18.0512857","18.6016265","18.73956287","18.67409212","19.17125072","19.09817555","19.00804959","18.91973627","","",
"Azerbaijan","AZE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.05836618","76.74212677","78.37597379","84.72157494","85.24084766","87.54071348","84.18968211","78.38622303","78.50693011","74.38659583","75.13200817","75.54846722","74.40198901","76.66035282","76.78279471","77.99325565","78.91878428","","",
"Burundi","BDI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.78693365","40.30458859","41.20006748","41.96569647","35.56011848","35.17008588","34.81430763","35.70703655","35.95796767","31.62755422","28.20030608","25.74491405","22.40234724","20.86187022","38.20294339","41.53365581","30.51368128","","",
"Belgium","BEL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","20.24202475","18.23845082","17.54989733","18.19972992","18.65722311","17.86193147","17.64008975","17.63989522","17.64615562","17.30804056","17.47225743","17.14783952","16.45771346","15.85889032","","",
"Benin","BEN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.49865995","50.05998011","52.73425092","53.06716593","51.11038256","51.07798775","50.54692597","49.04191017","47.35903016","46.06668415","45.0661723","43.67434506","37.40644693","42.31209265","44.0125428","40.49658741","43.48323889","","",
"Burkina Faso","BFA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.16008134","42.72938466","38.27582797","33.38692707","30.43884064","30.7122559","30.85259902","27.39347176","30.95700956","31.44069108","30.16873262","33.06054437","34.2684263","34.15064882","34.11343656","36.02974972","31.39360194","","",
"Bangladesh","BGD","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.09532405","65.14016112","62.293591","62.38762927","62.5052373","64.85485996","65.07526493","65.81632736","67.16354026","67.23670186","67.2104023","67.3722294","67.46909905","68.51466512","69.93145731","71.81633672","71.88884163","","",
"Bulgaria","BGR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.37570139","43.70612921","39.79439562","38.06082961","39.20325986","38.86741293","42.64740564","42.59270155","42.62918785","44.36734393","43.14134283","44.46372787","47.74680758","47.16653996","45.81277224","47.66826791","47.95404673","","",
"Bahrain","BHR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.79220565","25.35382922","25.72260779","31.49309988","30.90074771","28.19252717","27.09490915","30.15912417","27.22068451","28.34785641","28.46045977","28.43585119","26.80392178","26.90460526","26.1759985","25.84038665","27.98785963","","",
"Bahamas, The","BHS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3622291","21.14803625","23.07692308","25.06527415","26.61870504","29.86725664","27.91127542","30.17241379","29.33333333","28.25342466","28.42809365","28.40722496","28.7037037","28.59375","30.07751938","26.89450223","27.71587744","","",
"Bosnia and Herzegovina","BIH","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.59190337","38.88398075","36.03529329","30.38417219","42.70067851","45.20005893","44.99708621","44.27066633","43.91299413","30.61831691","30.07586289","29.46848574","29.21257095","28.96248703","28.70711621","28.81612434","28.68117751","","",
"Belarus","BLR","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.01373017","20.72087122","23.02361052","20.16473489","19.222986","21.78304154","24.38873666","25.79533789","29.83945204","30.91816856","29.165052","33.58686589","30.76471644","33.79212317","34.8943994","36.20292948","35.79892788","","",
