"country","iso2","iso3","iso_numeric","year","source_hh","e_hh_size","prevtx_data_available","newinc_con04_prevtx","ptsurvey_newinc","ptsurvey_newinc_con04_prevtx","e_prevtx_eligible","e_prevtx_eligible_lo","e_prevtx_eligible_hi","e_prevtx_kids_pct","e_prevtx_kids_pct_lo","e_prevtx_kids_pct_hi"
"Benin","BJ","BEN","204",2017,"DHS; 2012-02-17",4.961135,60,1425,,,2100,1900,2300,68,62,75
"Botswana","BW","BWA","072",2017,"IPUMS; 2011-07-01",3.524023,60,556,,,810,740,880,69,63,76
"Brazil","BR","BRA","076",2017,"IPUMS; 2010-07-01",3.31149,0,,,,2900,1900,3900,,,
"Cameroon","CM","CMR","120",2017,"DHS; 2011-05-02",4.992342,60,89,,,10000,9400,11000,0.86,0.79,0.95
"Central African Republic","CF","CAF","140",2017,"DHS; 1994-12-08",4.906784,0,,,,3500,3200,3900,,,
"Chad","TD","TCD","148",2017,"DHS; 2015-01-16",5.77718,0,,,,4900,4400,5300,,,
"China","CN","CHN","156",2017,"IPUMS; 2000-07-01",3.384408,0,,,,12000,7700,16000,,,
"Congo","CG","COG","178",2017,"DHS; 2011-11-26",4.307403,60,98,,,2400,2200,2600,4.1,3.8,4.5
"Czechia","CZ","CZE","203",2017,"DYB; 2011-07-01",2.340281,0,,,,11,6.8,14,,,
"Democratic Republic of the Congo","CD","COD","180",2017,"DHS; 2013-11-10",5.302067,60,13045,,,84000,77000,92000,15,14,17
"Denmark","DK","DNK","208",2017,"Statistical year book, 2014",2.1,,,,,4.1,2.6,5.5,,,
"Ethiopia","ET","ETH","231",2017,"DHS; 2016-04-07",4.614578,60,2964,,,29000,26000,31000,10,9.5,11
"Germany","DE","DEU","276",2017,"DYB; 2011-07-01",2.138812,0,,,,77,50,100,,,
"Ghana","GH","GHA","288",2017,"DHS; 2014-10-22",3.492886,0,,,,3600,3300,3900,,,
"Guatemala","GT","GTM","320",2017,"DHS; 2015-02-26",4.805714,60,884,,,1400,1300,1500,62,57,68
"Guinea-Bissau","GW","GNB","624",2017,"ILAP, 2010",8.3,60,394,,,2100,1900,2300,19,17,21
"India","IN","IND","356",2017,"DHS; 2015-12-28",4.572189,60,38745,,,320000,290000,350000,12,11,13
"Indonesia","ID","IDN","360",2017,"DHS; 2012-06-30",3.992281,60,6080,,,71000,65000,78000,8.5,7.8,9.4
"Ireland","IE","IRL","372",2017,"DYB; 2011-07-01",2.726628,0,,,,7.8,5,11,,,
"Israel","IL","ISR","376",2017,"DYB; 2008-07-01",3.141945,0,,,,10,6.7,14,,,
"Kenya","KE","KEN","404",2017,"DHS; 2015-07-26",3.638824,60,6521,,,21000,19000,23000,31,28,34
"Lesotho","LS","LSO","426",2017,"DHS; 2014-11-03",3.344935,0,,,,1300,1200,1400,,,
"Liberia","LR","LBR","430",2017,"DHS; 2013-05-13",4.945732,60,133,,,2200,2000,2400,6,5.5,6.6
"Malawi","MW","MWI","454",2017,"DHS; 2015-12-17",4.508918,60,3068,,,4400,4000,4800,69,64,76
"Mozambique","MZ","MOZ","508",2017,"DHS; 2011-08-29",4.366363,60,26087,,,21000,19000,23000,100,100,100
"Myanmar","MM","MMR","104",2017,"DHS; 2016-03-22",4.223794,60,337,,,15000,14000,17000,2.2,2,2.4
"Namibia","NA","NAM","516",2017,"DHS; 2013-07-25",4.238224,60,1069,,,3000,2800,3300,35,32,39
"Nigeria","NG","NGA","566",2017,"DHS; 2015-10-31",4.901429,60,10258,,,56000,51000,61000,18,17,20
"Papua New Guinea","PG","PNG","598",2017,"Census, 2011",5.5,0,,,,2400,2200,2700,,,
"Portugal","PT","PRT","620",2017,"DYB; 2011-07-01",2.580916,60,167,,,29,19,39,100,100,100
"South Africa","ZA","ZAF","710",2017,"DYB; 2011-07-01",3.38474,60,32104,,,39000,35000,42000,83,76,91
"South Sudan","SS","SSD","728",2017,"IPUMS; 2008-07-01",5.947973,0,,,,3600,3300,3900,,,
"Spain","ES","ESP","724",2017,"DYB; 2011-07-01",2.57551,,,,,76,49,100,,,
"Sudan","SD","SDN","729",2017,"IPUMS; 2008-07-01",5.590376,0,,,,5500,5000,6000,,,
"Syrian Arab Republic","SY","SYR","760",2017,"MICS, 2006",5.4,60,102,,,550,500,600,19,17,20
"Tajikistan","TJ","TJK","762",2017,"DHS; 2012-08-16",6.27058,60,2032,,,2300,2100,2500,88,81,97
"Thailand","TH","THA","764",2017,"IPUMS; 2000-07-01",3.693784,60,278,,,6400,5900,7000,4.3,4,4.7
"Togo","TG","TGO","768",2017,"DHS; 2014-01-28",4.551311,60,591,,,1300,1200,1400,45,41,49
"Tokelau","TK","TKL","772",2017,"DYB; 2011-07-01",5.243902,60,0,,,0,0,0,,,
"Uganda","UG","UGA","800",2017,"DHS; 2016-09-17",4.534338,60,1734,,,19000,18000,21000,8.9,8.2,9.8
"United Republic of Tanzania","TZ","TZA","834",2017,"DHS; 2015-11-17",4.851548,60,7303,,,20000,19000,22000,36,33,39
"Zambia","ZM","ZMB","894",2017,"DHS; 2013-12-10",5.130789,60,404,,,12000,11000,13000,3.3,3,3.6
"Zimbabwe","ZW","ZWE","716",2017,"DHS; 2015-09-27",4.077179,60,1789,,,7600,6900,8300,24,22,26
