"country","iso2","iso3","iso_numeric","g_whoregion","year","tx_dstb","budget_cpp_dstb","tx_mdr","budget_cpp_mdr","tx_xdr","budget_cpp_xdr","budget_lab","cf_lab","budget_staff","cf_staff","budget_fld","cf_fld","budget_prog","cf_prog","budget_sld","cf_sld","budget_mdrmgt","cf_mdrmgt","budget_tbhiv","cf_tbhiv","budget_patsup","cf_patsup","budget_orsrvy","cf_orsrvy","budget_oth","cf_oth","budget_tot","cf_tot","cf_tot_domestic","cf_tot_gf","cf_tot_usaid","cf_tot_grnt","cf_tot_sources"
"Andorra","AD","AND","020","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,
"Azerbaijan","AZ","AZE","031","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh","BD","BGD","050","SEA",2018,237000,43,1306,2118,8,9224,22368855,8004443,17313659,15660486,9498160,9498160,3489353,2728045,2666080,2988846,23181,15412,15536,210817,2321552,1028548,49336,9471,8695031,6005416,66440743,46149644,9498160,36651484,0,0,46149644
"Belarus","BY","BLR","112","EUR",2018,2100,50,1300,4500,450,7600,1378674,1378674,,,105000,105000,,,9270000,6430347,,,2878,2878,402983,402983,18600,18600,,,11178135,8338482,4457692,3106394,,774396,8338482
"Benin","BJ","BEN","204","AFR",2018,4278,62,24,734,2,6114,606750,579090,834567,552602,278657,261822,685419,676715,45678,39647,621500,350893,506789,404065,355908,345133,223196,18125,308293,36501,4466757,3264593,350893,2913700,0,0,3264593
"Cameroon","CM","CMR","120","AFR",2018,29280,77,236,354,5,494,1323630,346870,989728,703524,2951455,768685,926114,192171,431738,66791,107934,16698,118203,0,2017699,308187,65000,0,1354020,1804333,10285521,4207259,1452071,2755188,0,,4207259
"China","CN","CHN","156","WPR",2018,773148,48,8000,12041,,,11047619,11047619,137934914,137934914,36816571,36816571,285220215,246543967,96330159,67431111,20209524,20209524,,,,,21038835,21038835,,,608597837,541022541,527810103,,,13212438,541022541
"Curaçao","CW","CUW","531","AMR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Czechia","CZ","CZE","203","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2018,116618,34,1600,1066,,,3689221,108700,2517300,2517300,9872144,120200,6390819,1236037,4547500,639600,1011100,286100,0,0,37401138,183100,1019569,171700,17390262,1367600,83839053,6630337,5721900,268837,0,639600,6630337
"Democratic Republic of the Congo","CD","COD","180","AFR",2018,180986,71,1727,3100,172,16450,7098269,3973483,5310169,4886695,14106754,7151954,18836191,8866354,8183100,2673142,5128822,1495887,5096855,1363357,1613520,158976,953377,692236,8000350,6281075,74327407,37543159,1500045,25666879,4601139,5775096,37543159
"Denmark","DK","DNK","208","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2018,117705,45,2900,2300,,,19753571,9494709,8366818,7190246,5722274,1669754,15728402,11798714,7227996,2138821,4310069,1866098,7421147,4304264,1052774,634725,7342289,372818,15711896,1060075,92637236,40530224,10190096,16793726,10706629,2839773,40530224
"France","FR","FRA","250","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guam","GU","GUM","316","WPR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,1822356,,,,,,
"Guatemala","GT","GTM","320","AMR",2018,4172,51,105,1060,13,11075,710407,228816,1245001,757126,456452,212772,1665943,1073055,14509177,96633,592288,592288,20322,20322,161458,161458,0,0,0,0,19361048,3142470,1316584,1825886,,,3142470
"India","IN","IND","356","SEA",2018,2916997,45,59400,1000,2970,5000,95306868,95306868,95008728,95008728,83050332,83050332,52757187,52757187,109602165,109602165,65644733,65644733,14726090,14726090,15236035,15236035,10087250,10087250,38086980,38086980,579506368,579506368,458064516,71441852,20000000,30000000,579506368
"Indonesia","ID","IDN","360","SEA",2018,530493,36,5733,1216,,,60171533,32908895,48261024,52771535,19527191,18866193,139920740,34148154,2947952,1377944,16870810,3951972,4900724,1268160,1155911,3226981,733540,925929,0,0,294489425,149445763,101565995,38499843,9112295,267630,149445763
"Kazakhstan","KZ","KAZ","398","EUR",2018,10058,126,5734,3222,668,15615,5093660,3804346,89398682,89398682,1268600,1268600,887997,887997,28905825,26327198,7891543,7891543,1030260,1030260,3132390,3132390,104312,104312,,,137713269,133845328,126856666,4871889,265853,1850920,133845328
