"Benin","BJ","BEN","204","AFR",2017,70,70,0,,,,,,,
"Botswana","BW","BWA","072","AFR",2017,27,27,0,,,,,,,
"Brazil","BR","BRA","076","AMR",2017,,,0,,,,,,,
"Cameroon","CM","CMR","120","AFR",2017,253,60,0,,,,,,,
"Central African Republic","CF","CAF","140","AFR",2017,80,80,0,,,,,,,
"Chad","TD","TCD","148","AFR",2017,78,17,0,,,,,,,
"Congo","CG","COG","178","AFR",2017,2,1,1,1,1002,1002,,,,
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,517,381,1,381,25002,12509,,,,
"Ethiopia","ET","ETH","231","AFR",2017,912,912,1,912,116725,21020,,,,
"Ghana","GH","GHA","288","AFR",2017,216,216,1,20,1256,703,,,,
"Guatemala","GT","GTM","320","AMR",2017,338,270,0,,,,,,,
"Guinea-Bissau","GW","GNB","624","AFR",2017,20,20,1,,,,,,,
"India","IN","IND","356","SEA",2017,6819,6819,1,1256,625499,36129,,,,
"Indonesia","ID","IDN","360","SEA",2017,514,159,1,159,278268,43818,,,,
"Kenya","KE","KEN","404","AFR",2017,293,293,1,269,83599,6952,,,,
"Lesotho","LS","LSO","426","AFR",2017,202,192,1,190,6763,176,,,,
"Liberia","LR","LBR","430","AFR",2017,15,9,1,9,6677,2337,,,,
"Malawi","MW","MWI","454","AFR",2017,28,28,1,28,16502,738,,,,
"Mozambique","MZ","MOZ","508","AFR",2017,562,562,1,498,85376,21983,,,,
"Myanmar","MM","MMR","104","SEA",2017,330,276,1,276,98293,19675,,,,
"Namibia","NA","NAM","516","AFR",2017,34,34,1,34,8575,,,,,
"Nigeria","NG","NGA","566","AFR",2017,774,774,1,489,59792,21094,,,,
"Papua New Guinea","PG","PNG","598","WPR",2017,275,15,0,,,,,,,
"South Africa","ZA","ZAF","710","AFR",2017,52,52,0,,,,,,,
"Sudan","SD","SDN","729","EMR",2017,336,,0,,,,,,,
"Syrian Arab Republic","SY","SYR","760","EMR",2017,641,641,1,641,2845,,,,,
"Tajikistan","TJ","TJK","762","EUR",2017,103,24,0,,,,,,,
"Thailand","TH","THA","764","SEA",2017,1347,1347,0,,,,,,,
"Togo","TG","TGO","768","AFR",2017,63,63,1,63,2633,137,,,,
"Uganda","UG","UGA","800","AFR",2017,122,122,0,,,,,,,
"United Republic of Tanzania","TZ","TZA","834","AFR",2017,214,214,1,195,63876,10021,,,,
"Zambia","ZM","ZMB","894","AFR",2017,104,48,1,48,16195,1019,,,,
"Zimbabwe","ZW","ZWE","716","AFR",2017,65,65,1,65,26401,2679,,,,
