"country","iso2","iso3","iso_numeric","g_whoregion","year","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","r_rlt_new","r_rlt_ret","rr_new","rr_ret","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt","rr_ds_fq2li","rr_dr_fq","rr_dr_2li","rr_dr_fq_2li","mdr_dst_rlt","xdr"
"Andorra","AD","AND","020","EUR",2017,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan","AZ","AZE","031","EUR",2017,2023,2900,,1973,2690,245,762,1328,1707,228,846,170,513,170,495,812,446,208,276,118,,
"Bangladesh","BD","BGD","050","SEA",2017,140752,5107,3,38977,5107,623,288,25,125,15,106,21,110,15,105,289,223,66,2,2,76,0
"Belarus","BY","BLR","112","EUR",2017,1690,700,0,1690,700,649,468,1690,700,,,649,468,629,459,1117,413,464,583,343,1088,343
"Benin","BJ","BEN","204","AFR",2017,2783,259,0,11,259,4,14,1,11,0,6,0,9,0,4,18,18,0,0,0,4,0
"Cameroon","CM","CMR","120","AFR",2017,13448,378,0,3806,378,107,78,49,43,36,24,46,34,36,24,74,74,0,1,1,60,0
"China","CN","CHN","156","WPR",2017,212914,27873,,89171,19099,7718,5351,89171,19099,9558,5335,7718,5351,5339,4248,,,,,,,
"Curaçao","CW","CUW","531","AMR",2017,8,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czechia","CZ","CZE","203","EUR",2017,345,24,0,296,16,3,3,296,16,8,3,3,3,3,3,6,3,2,3,2,6,2
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2017,,,,,,,,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,93555,5871,0,4682,5854,326,559,41,293,9,277,41,293,9,277,318,301,18,0,1,286,1
"Denmark","DK","DNK","208","EUR",2017,159,16,0,155,16,1,0,155,16,3,0,1,0,1,0,1,1,0,0,0,1,0
"Ethiopia","ET","ETH","231","AFR",2017,43113,3035,,,,,,,,,,,,,,205,,9,1,1,,
"France","FR","FRA","250","EUR",2017,1361,176,1133,2630,237,48,33,2630,237,176,46,48,33,,,79,57,14,18,10,79,10
"Guam","GU","GUM","316","WPR",2017,57,1,0,56,1,2,1,56,1,5,1,2,1,2,1,1,0,1,0,0,1,0
"Guatemala","GT","GTM","320","AMR",2017,2610,150,0,851,138,31,44,282,80,11,27,6,13,6,13,8,5,2,1,0,8,1
"India","IN","IND","356","SEA",2017,814246,176450,0,270825,156428,7976,23232,51827,26229,6462,7621,2303,5832,2152,5357,21546,14176,7397,2093,2120,6787,466
"Indonesia","ID","IDN","360","SEA",2017,200946,15970,2467,17138,16660,1188,3882,259,1778,148,1418,198,1628,140,1356,1784,1451,271,109,47,1321,50
"Kazakhstan","KZ","KAZ","398","EUR",2017,6881,3101,0,3831,2580,1406,1557,2161,2041,1110,1273,711,1006,710,953,2187,1157,278,1051,299,,
"Kenya","KE","KEN","404","AFR",2017,44365,3506,0,28316,2933,193,129,176,125,110,81,176,125,110,81,198,190,8,1,1,,
"Kyrgyzstan","KG","KGZ","417","EUR",2017,2632,1217,0,2282,1094,584,666,1749,867,798,664,428,616,392,435,659,353,220,213,127,353,127
"Madagascar","MG","MDG","450","AFR",2017,20312,1874,0,0,612,,30,,612,,85,,30,,24,17,17,0,0,0,17,0
"Montserrat","MS","MSR","500","AMR",2017,,,,,,,,,,,,,,,,,,,,,,
"Morocco","MA","MAR","504","EMR",2017,12510,1683,0,906,1101,4,213,4,213,4,192,4,213,4,192,160,105,62,9,16,168,16
"Mozambique","MZ","MOZ","508","AFR",2017,29292,2727,34,,,,,299,484,103,231,110,247,84,210,209,156,47,25,19,177,18
"Myanmar","MM","MMR","104","SEA",2017,42489,7118,2,34835,6406,1711,1486,161,245,43,107,33,67,33,25,198,187,29,5,23,58,23
"Nauru","NR","NRU","520","WPR",2017,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria","NG","NGA","566","AFR",2017,73556,3882,104,819,967,819,967,,,,,,,,,691,482,,,14,57,14
"Pakistan","PK","PAK","586","EMR",2017,128806,15241,116,36136,11152,1761,1167,1942,4158,676,2408,606,2269,535,2102,2823,1617,1185,149,128,2600,123
"Papua New Guinea","PG","PNG","598","WPR",2017,3784,362,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
"Peru","PE","PER","604","AMR",2017,17868,2889,0,14261,2622,971,537,14215,2584,1602,1652,955,533,844,491,905,658,141,188,82,849,82
"Philippines","PH","PHL","608","WPR",2017,105165,20919,0,26602,18364,1319,5081,708,4984,52,393,73,495,37,350,1630,1351,65,229,15,259,4
"Portugal","PT","PRT","620","EUR",2017,1057,87,0,601,51,9,1,601,51,37,4,9,1,9,1,7,5,1,1,0,7,0
"Republic of Moldova","MD","MDA","498","EUR",2017,1494,773,0,1444,509,399,280,1159,327,424,201,316,181,308,178,533,383,89,93,32,475,30
"Russian Federation","RU","RUS","643","EUR",2017,32978,26058,0,29081,24792,9312,16567,29081,24792,11275,17737,9312,16567,8206,14611,22528,,5672,7403,3562,20477,3562
"Somalia","SO","SOM","706","EMR",2017,7448,385,0,6304,142,287,67,287,67,205,62,205,62,205,62,142,135,3,4,0,142,0
"South Africa","ZA","ZAF","710","AFR",2017,113126,16455,2879,4103,1410,3735,1349,4014,1386,2376,852,3732,1348,2311,837,,,,,,,
"Tajikistan","TJ","TJK","762","EUR",2017,2432,652,0,2432,652,490,153,496,154,419,134,490,153,413,133,464,428,55,103,122,508,279
"Thailand","TH","THA","764","SEA",2017,34195,3242,174,18630,5840,867,472,11227,3525,,,,,377,232,272,251,18,10,7,272,7
"Ukraine","UA","UKR","804","EUR",2017,12840,7212,0,12122,6502,3388,3113,12122,6502,3936,2989,3388,3113,2594,2414,6501,3265,1965,2351,1080,5008,1001
"Uzbekistan","UZ","UZB","860","EUR",2017,4592,3600,0,4439,2087,657,1200,3528,1517,1764,787,401,478,351,189,540,477,51,12,,540,0
"Viet Nam","VN","VNM","704","WPR",2017,50673,8148,53,30599,7520,1278,1308,0,460,0,354,0,361,0,333,1166,913,215,88,50,322,13
"Zimbabwe","ZW","ZWE","716","AFR",2017,12355,1036,54,,,,,,,,,,,,,,,,,,,
