"country","iso2","iso3","iso_numeric","g_whoregion","year","exp_cpp_dstb","exp_cpp_mdr","exp_cpp_xdr","exp_lab","rcvd_lab","exp_staff","rcvd_staff","exp_fld","rcvd_fld","exp_prog","rcvd_prog","exp_sld","rcvd_sld","exp_mdrmgt","rcvd_mdrmgt","exp_tbhiv","rcvd_tbhiv","exp_patsup","rcvd_patsup","exp_orsrvy","rcvd_orsrvy","exp_oth","rcvd_oth","exp_tot","rcvd_tot","rcvd_tot_domestic","rcvd_tot_gf","rcvd_tot_usaid","rcvd_tot_grnt","rcvd_tot_sources","hcfvisit_dstb","hcfvisit_mdr","hospd_dstb_prct","hospd_mdr_prct","hospd_dstb_dur","hospd_mdr_dur","hosp_type_mdr"
"Andorra","AD","AND","020","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,100,100,15,15,141
"Benin","BJ","BEN","204","AFR",2017,22,526,0,1132692,1236714,671032,878975,78646,78646,1575991,1710205,8405,8405,335516,439004,1888,3391,222803,230853,14896,22782,0,0,4041869,4608975,224021,4373065,0,11889,4608975,63,129,35,100,60,120,140
"Botswana","BW","BWA","072","AFR",2017,230,9000,10000,3282818,3282818,1000000,1000000,1500000,1500000,1700000,1700000,1170000,1170000,200000,200000,2500000,2500000,,,5200000,5200000,,,16552818,16552818,6424305,5128513,5000000,,16552818,20,192,5,5,14,60,142
"Brazil","BR","BRA","076","AMR",2017,49,2834,0,5880252,5880252,10434308,10434308,4695383,4695383,19320444,19320444,2826465,2826465,1889169,1889169,1080874,1080874,,,593726,593726,,,46720621,46720621,46720621,0,0,,46720621,72,288,17,30,20,90,142
"Cameroon","CM","CMR","120","AFR",2017,70,1132,1301,293349,339858,844275,959152,1761290,1768545,135155,205692,605889,776292,126809,140300,6488,6488,324148,345291,45261,54722,869398,1031080,5012062,5627420,2177070,3450350,0,0,5627420,5,6,100,100,45,120,140
"Central African Republic","CF","CAF","140","AFR",2017,25,2000,2500,209160,209160,302582,302582,245475,245475,200000,200000,172000,172000,62107,62107,11562,11562,250000,250000,,,,,1452886,1452886,247481,1205405,,,1452886,63,122,5,10,14,60,142
"Chad","TD","TCD","148","AFR",2017,,,,114892,114892,65911,65911,1232100,1232100,966557,966557,,,,,,,38961,38961,,,,,2418421,2418421,,2418421,,,2418421,64,125,20,100,60,120,142
"China","CN","CHN","156","WPR",2017,51,2235,,8534017,8534017,129031725,129031725,39702072,39702072,214056967,214056967,9296020,9296020,14448476,14448476,,,,,3865211,11527023,,,418934488,426596300,415620436,,,10975864,426596300,15,52,30,100,21,60,141
"Congo","CG","COG","178","AFR",2017,10,3076,0,90738,90738,0,0,98579,98579,1091802,1091802,86123,86123,0,0,0,0,0,0,0,0,0,0,1367242,1367242,1091802,275440,0,0,1367242,3,42,20,10,3,15,142
"Czechia","CZ","CZE","203","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,95,100,75,240,142
