"Andorra","AD","AND","020","EUR",2017,,,,,,,,,,,,,,,,,,,,8,,3,,8,3,,3,,4,,0,3,1,
"Azerbaijan","AZ","AZE","031","EUR",2017,,,,,,,,,,,,,,,,,,,,67,33,10,10,7,3,3,2,2,2,2,0,2,2,2
"Bangladesh","BD","BGD","050","SEA",2017,,,,,,,,,,,,,,,,,,,,1149,1149,47,0,4,3,3,2,2,1,1,0,0,1,1
"Belarus","BY","BLR","112","EUR",2017,,,,,,,,,,,,,,,,,,,,149,99,28,28,27,,,8,8,,,0,25,8,8
"Benin","BJ","BEN","204","AFR",2017,,,,,,,,,,,,,,,,,,,,73,71,6,6,1,1,1,1,1,1,1,1,1,1,1
"Cameroon","CM","CMR","120","AFR",2017,,,,,,,,,,,,,,,,,,,,253,253,17,17,3,2,2,2,2,2,2,1,17,2,2
"China","CN","CHN","156","WPR",2017,,,,,,,,,,,,,,,,,,,,4215,3300,1076,671,2182,587,429,426,426,325,88,0,,0,0
"Curaçao","CW","CUW","531","AMR",2017,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,2,2,2,2,2,1,2,0,0
"Czechia","CZ","CZE","203","EUR",2017,,,,,,,,,,,,,,,,,,,,38,38,12,0,38,17,17,6,1,3,1,1,12,2,1
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2017,,,,,,,,,,,,,,,,,,,,367,366,4,,2,2,0,1,0,0,0,1,,1,0
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,,,,,,,,,,,,,,,,,,,,1875,1875,76,76,4,0,0,1,1,0,0,1,0,2,2
"Denmark","DK","DNK","208","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2017,,,,,,,,,,,,,,,,,,,,3154,2562,153,88,8,,,1,,,,1,0,10,
"France","FR","FRA","250","EUR",2017,,,,,,,,,,,,,,,,,,,,150,150,61,,150,58,,1,,37,,1,61,16,
"Guam","GU","GUM","316","WPR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
