"Andorra","AD","AND","020","EUR",2017,,,,0,,,,,,,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,,,,,60,1,,,1,0,0,0,0,0,0,0,0,,,0,0,,0,,0,,0,1,0,0,0,,,,,,,,,,,
"Bangladesh","BD","BGD","050","SEA",2017,,,,44745,,,,,,,140755,47456,4062,3935,1686,1562,0,242639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,567,3958,4525,14630,20693,19573,23912,26928,28915,134651,0,390,5256,5646,16632,19747,18355,19076,14325,9682,97817,0,,,,,,60,611,,,41399,7063,1481,944,120,362,6,0,920,,,6,1,106,1,76,1,495,,0,3980,89,84,,,,,,,,,,,865
"Benin","BJ","BEN","204","AFR",2017,,,,311,,,,,,,2783,305,164,0,0,99,,3563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,57,86,334,592,557,414,211,129,2237,,31,75,106,270,297,262,146,89,70,1134,,,,,,,0,,,,2448,259,52,18,4,17,0,0,16,,,0,0,,0,,1,16,16,0,3568,544,486,,,,,,,,,,,
"Brazil","BR","BRA","076","AMR",2017,,,,9609,,,,,,,45483,17636,4439,1604,451,7636,285,79222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,513,668,1181,9967,13003,10371,8582,6750,5189,53862,77,375,708,1083,4564,4935,4237,3626,2856,2772,22990,29,,,,,,60,20925,,,22116,5544,56,1110,544,173,16,51,717,,,16,1,20,0,,0,,132,1,61829,7831,3742,,,,,,,,,,,
"Cambodia","KH","KHM","116","WPR",2017,,,,11619,,,,,,,11483,9515,566,949,106,229,,34238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1158,2745,3903,1026,1831,2325,3117,3257,3235,14791,,709,2145,2854,1029,1712,1613,2170,2907,3242,12673,,,,,,,0,,,,,609,704,136,136,100,1,7,136,,,1,1,4,0,,1,10,27,0,29849,748,698,,,,,,,754,3582,,,3582
"Cameroon","CM","CMR","120","AFR",2017,,,,4154,,,,,,,13448,5858,1067,,,378,0,24527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,216,437,653,2005,3763,3481,2332,1345,942,13868,,234,463,697,1742,2816,2229,1248,735,539,9309,,,,,,,61,,1478,1029,3011,1173,0,185,60,120,3,0,135,,,3,1,5,1,3,1,135,12,1,23730,7290,7194,,,,,,,,,,,
"Central African Republic","CF","CAF","140","AFR",2017,,,,1841,,,,,,,4882,2662,264,15,0,155,0,9664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,404,418,822,761,1357,1236,806,371,192,4723,0,372,386,758,785,1131,800,432,234,134,3516,0,,,,,,60,268,,,0,268,0,93,93,2,2,0,86,,,0,0,,0,,1,86,,0,7515,2098,1541,,,,,,,0,8180,,,8180
"China","CN","CHN","156","WPR",2017,,,,36525,,,,,,,212914,501078,22633,,,5240,,773150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,178,2327,2505,70674,70969,61718,104683,97964,127287,533295,0,83,2405,2488,37048,40613,28933,38790,35927,53551,234862,0,,,,,,0,,,,89171,19099,,13069,9587,,,,5943,,,,0,,0,,0,,,1,423205,5308,,,,,,,,,,,,
"Congo","CG","COG","178","AFR",2017,,,,2212,,,,,,,3806,3732,191,55,9,258,167,10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,167,263,430,927,1413,1251,836,404,295,5126,0,162,285,447,795,953,866,691,353,344,4002,0,,,,,,60,532,,,74,458,0,58,0,0,0,0,28,,,0,0,,0,,0,,17,1,1259,374,272,,,,,,,,,272,1380,29060
"Czechia","CZ","CZE","203","EUR",2017,,,,65,,,,,,,345,62,21,5,1,6,159,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,5,14,50,67,77,75,72,355,0,1,0,1,15,22,20,24,18,39,138,0,,,,,,60,336,,,333,17,0,8,8,8,2,0,8,,,2,0,,0,,0,,,0,197,8,,,,,,,,,,,,
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2017,,,,19461,,,,,,,31641,40859,8592,0,0,6550,,100553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,519,2467,2986,6666,11579,15489,14605,8380,3098,59817,,404,1821,2225,4269,7278,9421,8542,4297,1718,35525,,,,,,,0,,,,,2116,,1515,0,0,0,93,1639,,,19,0,,0,,0,,,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,,,,24959,,,,,,,93555,23069,4961,2331,1210,1747,988,150085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3003,5652,8655,12979,17488,17169,13123,8908,5456,75123,180,2604,5674,8278,11729,13907,12291,9412,6584,3785,57708,141,,,,,,0,,,,4682,5854,7,893,286,147,19,0,839,,,15,1,23,0,,1,830,839,0,96900,9688,7982,,,,,,,,,,,
"Denmark","DK","DNK","208","EUR",2017,,,,56,,,,,,,159,38,,,,22,184,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,8,20,28,21,33,31,13,146,0,0,4,4,8,25,19,18,11,14,95,0,,,,,,60,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2017,,,,36688,,,,,,,43113,33889,3035,,,980,,116725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2168,4637,6805,15664,16387,10587,8185,4703,3415,58941,92,1284,4721,6005,12711,13494,8103,5557,2925,2010,44800,82,,,,,,0,,,,,,38501,680,162,205,4,,680,,,4,1,28,1,20,1,30,8,0,101696,7272,6673,,,,,,,17801,39126,,,39126
