"country","iso2","iso3","iso_numeric","g_whoregion","year","wrd_initial_test","universal_dst","free_dx_followup","caseb_err_nat","digital_adherence_support","hcw_tb_infected","hcw_tot","mdrxdr_fail_morphine","pub_new_dx","priv_new_dx","prevtx_5plus_data_available","newinc_con5plus_prevtx","ptsurvey_newinc_5plus","ptsurvey_newinc_con5plus_prevtx"
"Andorra","AD","AND","020","EUR",2017,,,,42,210,,,,,,,2,,
"Bangladesh","BD","BGD","050","SEA",2017,0,0,1,43,210,,,0,43228,61537,,,,
"Benin","BJ","BEN","204","AFR",2017,0,0,0,0,210,,,,,,,,,
"Brazil","BR","BRA","076","AMR",2017,1,1,1,42,210,1036,,,,,,,,
"Cambodia","KH","KHM","116","WPR",2017,0,0,1,0,210,,2486,,461,,,,,
"Cameroon","CM","CMR","120","AFR",2017,1,0,1,43,213,8,25172,0,,,,,,
"Central African Republic","CF","CAF","140","AFR",2017,0,1,1,43,210,,,0,,,,,,
"China","CN","CHN","156","WPR",2017,0,1,1,42,211,3296,11172945,,411679,,,,,
"Congo","CG","COG","178","AFR",2017,0,0,1,42,210,0,,0,,,,,,
"Czechia","CZ","CZE","203","EUR",2017,1,1,1,42,210,,,,,,,,,
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2017,0,0,1,43,210,,,,,,,,,
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,0,0,0,43,212,49,,,,,,,,
"Denmark","DK","DNK","208","EUR",2017,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2017,0,1,0,0,210,,,,,12120,,,,
"France","FR","FRA","250","EUR",2017,1,1,1,42,3,,,,,,,,,
"Germany","DE","DEU","276","EUR",2017,0,1,0,42,3,,,,,,,,,
"Guatemala","GT","GTM","320","AMR",2017,0,0,1,42,210,24,,0,,,,,,
"India","IN","IND","356","SEA",2017,1,1,1,42,213,,,,201369,400113,,,,
"Indonesia","ID","IDN","360","SEA",2017,1,1,1,42,210,,1145723,,108040,58633,,,,
"Israel","IL","ISR","376","EUR",2017,0,1,1,42,210,,,,,,,,,
"Kenya","KE","KEN","404","AFR",2017,1,1,1,42,213,,,,0,15609,,,,
"Lesotho","LS","LSO","426","AFR",2017,1,1,1,42,213,55,,,,,,,,
"Liberia","LR","LBR","430","AFR",2017,1,1,1,0,210,,,0,,,,,,
"Madagascar","MG","MDG","450","AFR",2017,0,1,1,43,210,,,0,,,,,,
"Montserrat","MS","MSR","500","AMR",2017,,,,,,,,,,,,,,
"Morocco","MA","MAR","504","EMR",2017,0,1,1,43,3,,,,,,,205,,
"Mozambique","MZ","MOZ","508","AFR",2017,1,1,1,43,212,425,62000,0,,,,,,
"Myanmar","MM","MMR","104","SEA",2017,0,0,1,0,3,,,,4560,20262,,0,,
"Namibia","NA","NAM","516","AFR",2017,1,1,1,42,210,42,14118,,,,,,,
"Nauru","NR","NRU","520","WPR",2017,,,,42,3,,,,,,,1,,
"Nigeria","NG","NGA","566","AFR",2017,1,1,1,42,210,108,451097,0,11193,11862,,,,
"Pakistan","PK","PAK","586","EMR",2017,0,1,1,43,210,,,,2620,108370,,,,
"Papua New Guinea","PG","PNG","598","WPR",2017,1,1,1,0,213,,,,,,,,,
"Philippines","PH","PHL","608","WPR",2017,0,0,1,42,3,,,,69221,55538,,,,
"Portugal","PT","PRT","620","EUR",2017,1,1,,42,210,,,,,,,2019,,
"Russian Federation","RU","RUS","643","EUR",2017,1,1,1,42,211,101,84651,,,,,,,
"Sierra Leone","SL","SLE","694","AFR",2017,1,0,1,0,210,,,,,,,,,
"South Africa","ZA","ZAF","710","AFR",2017,1,1,1,42,210,,,,,,,,,
"Syrian Arab Republic","SY","SYR","760","EMR",2017,0,0,1,42,211,0,1700,0,,,,55,,
"Tajikistan","TJ","TJK","762","EUR",2017,1,1,1,42,210,34,101910,0,,,,2154,,
"Thailand","TH","THA","764","SEA",2017,1,1,1,42,211,304,345760,6,6287,7186,,92,,
"Togo","TG","TGO","768","AFR",2017,0,0,1,0,210,,,,,,,,,
"Tonga","TO","TON","776","WPR",2017,,,,42,210,,,,,,,0,,
"United Republic of Tanzania","TZ","TZA","834","AFR",2017,1,0,1,0,211,,,0,,6939,,,,
"Viet Nam","VN","VNM","704","WPR",2017,0,1,1,42,211,89,114914,,7301,1727,,,,
"Wallis and Futuna Islands","WF","WLF","876","WPR",2017,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2017,1,1,1,0,210,25,,0,,,,,,
"Zimbabwe","ZW","ZWE","716","AFR",2017,1,1,1,0,210,225,40765,0,,,,,,
