Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Age],[Bounds],[Cities],[Disability status],[Hazard type],[IHR Capacity],[Location],[Migratory status],[Name of international institution],[Name of non-communicable disease],[Quantile],[Reporting Type],[Sex],[Type of occupation],[Type of product]
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","50","Bangladesh","2016","14.8","2016","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","76","Brazil","2016","4.3","2016","World Development Indicators database, World Bank","Estimated from unit-record income data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","76","Brazil","2017","4.8","2017","World Development Indicators database, World Bank","Estimated from unit-record income data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2016","6.5","2016","World Development Indicators database, World Bank","Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","360","Indonesia","2017","5.7","2017","World Development Indicators database, World Bank","Estimated from unit-record consumption data. National estimate is based on aggregation of rural and urban distributions. See PovcalNet (http://iresearch.worldbank.org/PovcalNet) for separate rural and urban estimates.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","376","Israel","2016","0.2","2016","World Development Indicators database, World Bank","Estimated from unit-record income data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","430","Liberia","2016","40.9","2016","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","704","Viet Nam","2016","2","2016","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","764","Thailand","2016","0","2016","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.1","1.1.1","SI_POV_DAY1","Proportion of population below international poverty line (%)","764","Thailand","2017","0","2017","World Development Indicators database, World Bank","Estimated from unit-record consumption data.","G","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_LMKT","[World Bank] Proportion of population covered by labour market programs (%)","643","Russian Federation","2016","2.85534","2016","State Committee of the Russian Federation on Statistics","Statistical Survey of Income and Participation in Social Programs","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_LMKTPQ","[World Bank] Poorest quintile covered by labour market programs (%) ","643","Russian Federation","2016","7.317","2016","State Committee of the Russian Federation on Statistics","Statistical Survey of Income and Participation in Social Programs","CA","PERCENT","","","","","","","","","","","","G","","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","50","Bangladesh","2016","20.9","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","76","Brazil","2016","45.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","104","Myanmar","2016","0.7","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","116","Cambodia","2017","1.5","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-4","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","120","Cameroon","2016","0.6","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","150","Europe","2016","93.6","","ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)","","E","PERCENT","","","","","","","","","","","","G","BOTHSEX","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","156","China","2016","15.1","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","156","China","2017","64.9","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","202","Sub-Saharan Africa","2016","2.3","","ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI)","To interpret with caution: estimates based on reported data coverage below 40% of the population","E","PERCENT","","","","","","","","","","","","G","BOTHSEX","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","203","Czechia","2016","100.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","208","Denmark","2016","100.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","250","France","2016","100.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","276","Germany","2016","100.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","320","Guatemala","2016","14.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","356","India","2016","41.0","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
"1","1.3","1.3.1","SI_COV_MATNL","[ILO] Proportion of mothers with newborns receiving maternity cash benefit (%)","508","Mozambique","2016","0.2","","ILO Social Security Inquiry (SSI). Available at http://www.social-protection.org/gimi/gess/ShowWiki.action?id=594#tabs-3","ILO estimates based on country data","E","PERCENT","","","","","","","","","","","","G","FEMALE","",""
