Excerpt Copy,Codes Applied Combined,
Thank for all your comments!! ,"{Acknowledging prior comments in thread, P-C , Comment about other person self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}","=Concat(""{"",B2)"
" 
I like that too. And i encourage every person that takes care of the environment.","{Acknowledging prior comments in thread, Personal / Identity expression, C-P , Comment about other person self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Coding question, Connect, Commenter's own self, context, post/work}",
"Yea , even if they are nuns but they also have big role in the community ","{Affirming utterance, Commenter's own self, context, post/work, P-C , Elaborate/Explain, Dialogue, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Thread, exchange, & comment characteristics, Original Post}",
"Yea, and I personally think that the plants should be in the middle of the sidewalk because as we all know that it's a source that provides oxygen. and we have a lot of nuns here we see them in churches , hospitals , schools.... Etc. ","{Affirming utterance, Commenter's own self, context, post/work, P-C , Elaborate/Explain, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Personal / Identity expression, Community-related, ecological, sociological, Assuming shared knowledge, Share Info}",
"Wow your from peru that's intersting. Exactly the nuns are so hard workers, they don't take money. It's also hard because sometime the older nuns help the older people and that's hard for them but they thank God for everything. ","{Affirming utterance, Connect, P-C , Comment about other person self, context, post/work, Commenter's own self, context, post/work, Coding question, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Elaborate/Explain, Community-related, ecological, sociological, Interpret, Share Info}",
"yes,they are colored ","{Affirming utterance, Elaborate/Explain, P-C , Commenter's own self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"I Know right. Well, that seems nice too.","{Affirming utterance, P-C , Commenter's own self, context, post/work, Comment about other person self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Appreciate}",
Yea we actually do sometimes ,"{Affirming utterance, P-C , Commenter's own self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"Yea they have many jobs. The car's type is called Opel, it used to be famous in the 80's here in Iraq but since the cars are developing its like extinct now adays but some still have it","{Affirming utterance, P-C , Commenter's own self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Elaborate/Explain, Community-related, ecological, sociological, Share Info}",
"Yea it's so intersting, in my neighborhood we have a lot of nuns they really work hard and maybe more than any other hard working person. Don't you have like nuns teaching at school or something? ","{Affirming utterance, Probe , Commenter's own self, context, post/work, Comment about other person self, context, post/work, P-C , Elaborate/Explain, Dialogue, Question, Target Comment or Idea, Thread, exchange, & comment characteristics, Community-related, ecological, sociological, Interpret, Original Post, Share Info}",
Really cool what kind of cars you like ? ,"{Affirming utterance, Probe , P-C , Comment about other person self, context, post/work, Dialogue, Question, Appreciate, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"We have many different places in Iraq, especially in the north, there are many beautiful mountains!","{Appreciate, Commenter's own self, context, post/work, Community-related, ecological, sociological, Personal details, P-C , Dialogue, Target Comment or Idea, Share Info, Thread, exchange, & comment characteristics, Elaborate/Explain}",
"
On my first picture you can see the sky and some trees. I liked this picture a lot because it gives you a glance on Beaverton’s nature and weather. In Beaverton we have alot of rainy, moist and cold days. We also have a lot of nature here, which is one of the reasons why I like Beaverton a lot. On my second picture it shows some of the Christmas decorations people put out to show some christmas spirit. When I was walking around through some neighborhood’s, I would see a lot of christmas decorations and I personally love christmas, which is one of the reasons why I chosed this picture.
After taking a walk around Beaverton, I realised that Beaverton is much bigger and beautiful than I thought. When I was walking through downtown there was a lot of chaos, with cars and many people trying to get somewhere. But when we got to walk through the neighborhoods, everything seem so peaceful and calm.","{Appreciate, Community-related, ecological, sociological, Personal details, Extend, Elaborate/Explain, Other, Cross-Strand Example, Personal / Identity expression, Original Post, Share Info, Emotional expression, Notice}",
" 
Hivery nice, are you planning for your own business in the future? and what kind of business? Thank you..............","{Appreciate, Dialogue, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
I took this photo because I thought that it is very interesting that there was a little bridge with water underneath. This little bridge is on 185th on the left side coming back from the big intersection of 185th and TV Hwy in Aloha Oregon. I want other people to notice that there is a water path that leads somewhere. Unfortunately I do not know where the water leads. While I was passing by this I received a smell of trees wet and the smell of nature. It was incredible. You could also hear the water running.  Also I want you to notice that the ground is wet. The ground is wet because It just stopped raining.,"{Appreciate, Elaborate/Explain, Reader / audience sensitivity, Storytelling, Community-related, ecological, sociological, Other, Notice, Cross-Strand Example, Original Post, Share Info, Coding question}",
"Hello, thank you for your reply. I totally agree that landscapes can become friends, because usually when I just sit in nature I feel comfortable and free, and when I travel I look for the unique landscapes that each country has!","{Appreciate, Emotional expression, Personal details, Reflect back, Snip, Personal / Identity expression, Paul comment, Dialogue, Share Info}",
Im a proud American who is not afraid to show my pride for my country (even though theres alot of selfish people). I salute to all the people who fight for our country and protects us. We dont only help our own people but people from other countries too. We are very genorous poeple who donate to the less fortunate and thats why I love being an American.,"{Appreciate, Personal / Identity expression, Other, Cross-Strand Example, Original Post, Emotional expression, Share Info, Personal details}",
wow i really liked you picture i liked the nature and the tree in the picture ,"{C-P , Comment about other person self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
That's pretty interesting how nun's have several jobs and not just one. I don't think I ever seen a nun before in my life! ,"{C-P , Comment about other person self, context, post/work, Commenter's own self, context, post/work, Dialogue, Extend, Appreciate, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"Like these people have said above, I don't really see things or problems like this in Beaverton Oregon, but there are other places in the united states that may use a generator. Like out in the middle of no where they probably use generators as well. But yeah we never really loose power unless there is a storm ","{C-P , Commenter's own self, context, post/work, Acknowledging prior comments in thread, Differences statements, Interpret, Elaborate/Explain, Affirming utterance, Thread, exchange, & comment characteristics, Target Comment or Idea, Dialogue, Community-related, ecological, sociological, Share Info}",
This is a very beautiful view.,"{Comment about other person self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics}",
That is a really good picture!!!!,"{Comment about other person self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics}",
that looks like a good place to hang with friends,"{Comment about other person self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Interpret}",
"Hey, I really liked your pictures, specially the first one its nice to know that it's been there for 120 years and it's a big part of your communities and above all the beauty of the trees. ","{Comment about other person self, context, post/work, C-P , Target Comment or Idea, Thread, exchange, & comment characteristics, Appreciate, Dialogue, Coding question, Elaborate/Explain, Snip}",
that looks a good place to play soccer with my friends. ,"{Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Interpret}",
"I don't think I've ever seen a nun before, it's amazing how they can have many jobs.","{Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Dialogue, Extend, Appreciate, Target Comment or Idea, Thread, exchange, & comment characteristics}",
"I really like people who care for there environment , they show that they are responsible and caring. When people are caring , they are saving many organisms and plants life.","{Comment about other person self, context, post/work, Connect, Personal / Identity expression, C-P , Target Comment or Idea, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Coding question, Elaborate/Explain, Commenter's own self, context, post/work}",
"Thank you, I took the pictures myself. These places are far from my neighborhood but they remind me of many beautiful memories!","{Commenter's own self, context, post/work, Appreciate, Dialogue, Target Comment or Idea}",
These building where not here before until we started using more technology and started building on more of our land what you see in these pictures all used to be lane to plant food and to grow alot of other things.,"{Commenter's own self, context, post/work, P-C , Elaborate/Explain, Community-related, ecological, sociological, Coding question, Target Comment or Idea, Thread, exchange, & comment characteristics, Dialogue, Share Info, Historical}",
I see these birds every day,"{Commenter's own self, context, post/work, P-C , Share Info, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Original Post, Personal details, Dialogue, Share Info}",
"My last photo is a shot of trees surrounded by houses. I chose this photo because of its beauty. My group and I saw so many trees and parks, it made us notice that beaverton has a lot of nature around our community. Beaverton does have a lot of resources, and for a long time I was catch up with all of things that consume most of my time. The walk made us slow down to take in what was around us.","{Community-related, ecological, sociological, Appreciate, Extend, Cross-Strand Example, Personal details, Share Info, Original Post}",
"Animals like wolfs,foxes,snakes,eagles etc.... ","{Community-related, ecological, sociological, C-P , Commenter's own self, context, post/work, Share Info, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Coding question, Elaborate/Explain}",
"So basciclly we have a lot of of forest/parks out here in Beaverton, Oregon which makes it unique. Many other places are not like that. We like to grow trees because we truly care about our enviornment and want to keep it green. Another way we keep Oregon green is that we bike around for our transportation instead of driving. Not only does it save our world but it also keeps us healthy. That's what the walk made me relize is that I live in a perfect place even though we dont get that much sun about this time of year.","{Community-related, ecological, sociological, Elaborate/Explain, Personal / Identity expression, Extend, Appreciate, Share Info, Original Post}",
"This is a generator in our school neighborhood we use it a lot especially for companies and private schools, because here our power is very poor that's why we use generators.","{Community-related, ecological, sociological, Elaborate/Explain, Share Info, Original Post}",
"This is the biggest company of internet, that tower make connection of internet. Here most of people uses fastlink which is movable internet.
?","{Community-related, ecological, sociological, Elaborate/Explain, Share Info, Original Post}",
"I did not know which two pictures to choose, so im putting four. I choose the weird blue art, because this is something the people will spend their money on and there are all kinds of wierd arts in beaverton and portland oregon. The home with the tree in front is on their, because their unique homes. They have been there for awhile and is built in the 1960’s and is called the romer homes. although this is a bad picture of one. The 1914 post is on there because it is explains what the building was built and what's kind of type of building it is. I put the big tree up because those kind of trees trip me out. I don’t understand how you can have more than one big thick branch growing out of one tree. and it looks cool. those trees remind me of a good memory with my dad so i love them even more. The walk made me think different about beaverton because I never knew the true background on the buildings and of what use to be there. It makes me notice a little about the place because it still has details from when it first was built.","{Community-related, ecological, sociological, Historical, Personal / Identity expression, Notice, Extend, Elaborate/Explain, Other, Share Info, Original Post, Interpret, Emotional expression}",
"2)Oregon have many cities the have a forest to walk around and for people to run, It’s a good thing the Many country should have this kind of forest or walk path so people can be healthy and have a good lifestyle. I find it interesting because when i got to the U.S  I never saw too much trees or wood houses. I like it how companies here they make sure that the  forest and walk path are clean and organized. People in my city  want always to look nice our property so when others people come visit can have a good time and not say bad things about our city. ","{Community-related, ecological, sociological, Personal / Identity expression, Appreciate, Share Info, Original Post, Coding question, Interpret}",
"
First Picture: This picture represents an old traditional iraqi game, this games is drawn by chalk in the ground then you try to jump as much as you can without getting one foot wrong. I took this picture in our School's neighborhood. The reason i chose this picture was because this game was the best part of my childhood.
Second Picture: I took this picture from my house's roof. I just love this view, my house is located in the end and it's the last house in the neighborhood. On the right of the picture is The Internation Airport of Erbil, it is really nice to live near to  the airport and was one of the factors that made me love traveling. As for the left side of the picture you can see towers, now that's the down town. The reason i chose this picture was because my roof is the best place where i can study, meditate, and relax.","{Community-related, ecological, sociological, Personal / Identity expression, Elaborate/Explain, Appreciate, Personal details, Share Info, Original Post, Emotional expression}",
"1.The first picture shows a mountain in (Shaqlawa, Kurdistan.Shaqlawa is located in the north of Iraq. The distance between Erbil and Shaqlawa is an hour). Actually there is a shrine in the mountain. This place is very nice for hiking. I usually climb this mountain, whenever I get the chance to go, and this place has really good memories for me. There is a wonderful view from the mountain, that shows the city.
 2. The second picture shows a path and  trees . Actually this is an orchard in my grandmother's house. This path and this orchard remind me of my childhood when I used to play with my siblings and my cousins in this area, and the orchard is full of fruits trees.","{Community-related, ecological, sociological, Personal / Identity expression, Storytelling, Share Info, Original Post}",
I like that your parents worked hard to reach their goal and build a nice house. I also think that having a clean city or neighborhood always gives a good impression to other people.,"{Connect, C-P , Comment about other person self, context, post/work, Commenter's own self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Coding question, Personal / Identity expression}",
"
Am agree with you about the blue art because some of people will like to spend their money. ","{Connect, C-P , Interpret, Comment about other person self, context, post/work, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea}",
"I like the way you took the pictures, and how the view is! I took similiar pictures as yours of the views of oregon but this pictures are amazing!","{Connect, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics}",
Wow the view is amazing who ever took the photo great job I think mountains are cool. Nice ally very big i have a ally i walk through every once in a while to get to the store and to get home i don't really have any memories with it but its always something to remember as you get older,"{Connect, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Community-related, ecological, sociological, Personal details, Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Share Info}",
Our city too we are decorating our houses and we preparing for Christmas.,"{Connect, Community-related, ecological, sociological, Commenter's own self, context, post/work, C-P , Dialogue, Share Info, Target Comment or Idea, Thread, exchange, & comment characteristics}",
I also used to play the same game when i was younger. Honestly if i had a roof that i could just go sit on I would too. Here Id probably go to a near by forest or the starbucks across the street.,"{Connect, Differences statements, Commenter's own self, context, post/work, Comment about other person self, context, post/work, C-P , Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Coding question, Personal details, Community-related, ecological, sociological, Share Info}",
Wooooow I really like that. Although the ways we play the game are different but am happy that we share the same game.,"{Connect, Elaborate/Explain, Comment about other person self, context, post/work, Commenter's own self, context, post/work, P-C , Emotional expression, Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Differences statements}",
"When I was young I use to play the same game, my cousins and I use to play it differently. We would get a rock through it and jump through the squares with one leg. The goal was to jump over the square that the rock was on. It's cool to know you play that game to when you were young ! (:","{Connect, Elaborate/Explain, Commenter's own self, context, post/work, Comment about other person self, context, post/work, C-P , Personal details, Storytelling, Dialogue, Appreciate, Target Comment or Idea, Thread, exchange, & comment characteristics, Share Info, use of emojis / emoticons, Internet speak, Differences statements}",
I love the view. That reminds me of home (Oregon). Our viewpoints are very similar and it's perfect.,"{Connect, Interpret, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Dialogue, Appreciate, Target Comment or Idea, Thread, exchange, & comment characteristics}",
"I like the brick side walk because thats how it is in my country(Peru) they still making those kind of side walks, and Its a hard work, I also respect the nuns because they help the community a lot in my country and they take their time to take care of others and thats how why I respect them because no one in my country will give their time without getting pay by doing this beautiful things.","{Connect, Personal / Identity expression, Comment about other person self, context, post/work, Commenter's own self, context, post/work, C-P , Elaborate/Explain, Appreciate, Dialogue, Target Comment or Idea, Thread, exchange, & comment characteristics, Community-related, ecological, sociological, Notice, Original Post, Share Info}",
"I like how this picture for some reason reminds me of my childhood memories, it seems like a place to play and run. To have fun with your friends, and enjoy the moment you are experiencing. It looks like some neighborhoods here in Oregon. There is a lot more in common then what I thought. ","{Connect, Personal / Identity expression, Elaborate/Explain, C-P , Comment about other person self, context, post/work, Commenter's own self, context, post/work, Appreciate, Dialogue, Thread, exchange, & comment characteristics, Target Comment or Idea, Coding question, Personal details, Community-related, ecological, sociological, Extend, Share Info}",
"yes your right ferris wheels are fun ,but trust me not everywhere i have been in a feris wheel in other places its boring and really slow . yes i liked the car too ,what kind of car do you own ?","{Dialogue, Affirming utterance, Connect, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Other, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"Exactly they can save money for something useful and helpful.Here when people save money sometimes they go and donate it for cancer children or try to make a party for orphans to make them happy or something else, and this thing it depends on the people or person how he want to make it.","{Dialogue, Affirming utterance, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"Yes, mostly our weather doesn't change because this week It might rain and sure we enjoy our weather.","{Dialogue, Affirming utterance, Elaborate/Explain, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
This garden looks really beautiful. I also have memories in gardens as a child but they look completely different.,"{Dialogue, Appreciate, Connect, Differences statements, Share Info, Community-related, ecological, sociological, Extend, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"I love what you said about how we are all so similar even though we may have different traditions and beliefs. Christmas is a big deal in my family too, it's my favourite holiday because everyone gets together and appreciates all the wonderful things we have and how lucky we are to be together as a family.","{Dialogue, Appreciate, Connect, Personal / Identity expression, Coding question, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Snip, Share Info, Personal details}",
I like your photos and i agree with you when you said we ALL have similarities and that we are not different from one another (:,"{Dialogue, Appreciate, Connect, Personal / Identity expression, Internet speak, use of emojis / emoticons, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , shorthand/internet speak}",
"Hi I like reading books a lot, like adventure, fantasy, science fiction, short stories and novels. Which type of book you like and enjoy reading? THANK YOU!","{Dialogue, Appreciate, Connect, Personal / Identity expression, Question, Probe , Target Comment or Idea, Commenter's own self, context, post/work, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Share Info, Personal details, Internet speak, shorthand/internet speak}",
"Hi, it’s very nice to have a park at your neighborhood to have some fun, even if you were very young and now you grown up but you still have some memories even they were bad or good. And everyone wants to give the best for their children to make them happy and the best, and you are saying that you have a son is it a big responsibility for you and you are still a student? MAY GOD HELP YOU AND GIVE YOU THE BEST IN YOUR LIFE .........................................THANK YOU!!!....","{Dialogue, Appreciate, Connect, Personal / Identity expression, Reflect back, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Internet speak, shorthand/internet speak , Assuming shared knowledge, Coding question}",
"I really love your photos, especially the first one! In Vancouver we can get some pretty crazy weather as well, and you can also see the rain clouds moving in. I love nature too and sometimes I have to stop and look around at all the views that I sometimes miss.","{Dialogue, Appreciate, Connect, Personal / Identity expression, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Share Info, Community-related, ecological, sociological}",
ferris wheels are so awesome here in Oregon we have carnivals that have two ferris wheels one is small and the other one is huge I go on the huge one because you can see everything and everyone. I think there so coo but when i go up I get a funny feeling haha but its so much fun. That car is very fresh i wish i could have a car like that I would be the coolest kid if i had a car like that.,"{Dialogue, Appreciate, Connect, Share Info, Community-related, ecological, sociological, Personal details, Emotional expression, Internet speak, shorthand/internet speak , Personal / Identity expression, Other, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"This is really interesting to me because i'm from Beaverton Oregon and we don't see buildings like this, because it rains a lot here.","{Dialogue, Appreciate, Differences statements, Extend, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Personal details}",
"Hello, I like your pictures. The picture for the forest is amazing we don't really have forests with such tall trees.","{Dialogue, Appreciate, Differences statements, Share Info, Community-related, ecological, sociological, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Extend, Coding question}",
" Hi thanks for everyone who comment on my pictures.some times i go walking to my school and sometimes no because it's not very near to my house. I actually liked your question, some of the companies that they are in neighborhood you will find out that there businesses are for charities and some for children help and now and new company opened, it's for women rights their business is to gather women and start teaching English language and some computer classes, I live in Iraq and some the women don't know English and computer which are very important, and now we are depending on these two here a lot specially when you are looking for a job the first thing that they will ask you do you know English and computer?so I think it's very nice and helpful to open a business that other people can benefit from it too in that way your business will succeed.","{Dialogue, Appreciate, Elaborate/Explain, Reader / audience sensitivity, Share Info, Community-related, ecological, sociological, Personal / Identity expression, Target Comment or Idea, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C , Personal details}",
Yes it’s really huge responsibility! It’s really nice and helpful to have parenting class in your school I loved the idea a lot because maybe some teens will need this.THANKS FOR YOUR TIME! AND MAY GOD BE WITH YOU!!!!,"{Dialogue, Appreciate, Emotional expression, Interpret, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P , Affirming utterance, Other, Internet speak, shorthand/internet speak}",
Hello Amar11 I think its really cool how u have a lot of memories of your childhood in that garden,"{Dialogue, Appreciate, Internet speak, shorthand/internet speak , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
I think that's a good place to have fun since they have many different activities that you and your friends can do.,"{Dialogue, Appreciate, Interpret, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
 those ferris wheels are good looking in to the car they look good they good fast to on a car and i don't really like convertibles.,"{Dialogue, Appreciate, Personal / Identity expression, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"You have captured some exciting photos! So is the black car in a rich neighbor hood ,or do people of a lower class can afford these kinds of expensive cars?","{Dialogue, Appreciate, Question, Probe , Other, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P , Cross-Strand Example}",
"I think both of you pictures are very beautiful and showcase the best of Oregon's weather! Looking back at middle school and comparing the middle school in your memory to the middle school now, is it the same to you? Also, how does the weather affect you, if it does at all?","{Dialogue, Appreciate, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
that sounds really cool i like the school and businesses thing and what are the business.,"{Dialogue, Appreciate, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
thank you so do you have any ?,"{Dialogue, Appreciate, Question, Probe , Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, P-C}",
"thank you, well to be honest with you its kind of wired here because here you can see alote of expensive cars like Lexus but you cant see any ferraris, Lamborghini or cool cars like that , i feel like everyone here copies the other one.","{Dialogue, Appreciate, Share Info, Community-related, ecological, sociological, Personal / Identity expression, Elaborate/Explain, Target Comment or Idea, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, P-C , Interpret}",
"Hi there! Thanks for a really insightful and interactive post! I really appreciate the details you notice like the apartments in the background and your curiosity about how your city compares to other cities. I am from Canada and we have skytrains and buses in our public transportation system. I take the skytrain very often as well! In Vancouver, we have a skytrain system called the Canada Line that was recently constructed in 2009. How new is the max system?","{Dialogue, Appreciate, Share Info, Community-related, ecological, sociological, Personal details, Question, Probe , Connect, Target Comment or Idea, Comment about other person self, context, post/work, Commenter's own self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
"I like when you said ""the calm before the storm' on your first picture, it seems interesting.","{Dialogue, Appreciate, Snip, Target Comment or Idea, Comment about other person self, context, post/work, Thread, exchange, & comment characteristics, C-P}",
